symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,pct_change_at_first_seen,in_experiment_bracket,price_bucket,closed,closed_at,peak_price_reached,pct_of_target_reached_if_not_closed
EQPT,under120,20260724T1337Z,morning,18.2,-0.06185567010309275,False,10-120,True,2026-07-24T15:05:00Z,19.14,
VHUB,under120,20260724T1337Z,morning,0.7513,-0.061696015986012244,False,<1,False,,0.77,1.0039
DDTJ,under120,20260724T1337Z,morning,18.84,-0.06058807984004067,False,10-120,True,2026-07-24T19:45:00Z,20.12,
DLAG,under120,20260724T1337Z,morning,31.1,-0.059897525807475385,False,10-120,True,2026-07-24T17:50:00Z,33.175,
SDOT,under120,20260724T1337Z,morning,17.97,-0.05965463108320254,False,10-120,True,2026-07-24T15:50:00Z,18.89,
IZM,under120,20260724T1337Z,morning,0.2591,-0.05952813067150644,False,<1,True,2026-07-24T14:00:00Z,0.2788,
TAOX,under120,20260724T1337Z,morning,3.455,-0.058583106267029936,False,3-10,False,,3.5,0.9915
QMLS,under120,20260724T1337Z,morning,7.7216,-0.058341463414634115,False,3-10,False,,7.91,1.0038
TRNR,under120,20260724T1337Z,morning,3.08,-0.058103975535168176,False,3-10,True,2026-07-24T17:40:00Z,3.22,
COHX,under120,20260724T1337Z,morning,31.655,-0.05732578916021433,False,10-120,False,,31.7,0.9817
AMIX,under120,20260724T1337Z,morning,3.3,-0.0571428571428572,False,3-10,True,2026-07-24T14:15:00Z,3.64,
ANPA,under120,20260724T1337Z,morning,3.3001,-0.05711428571428571,False,3-10,True,2026-07-24T15:00:00Z,3.65,
MODD,under120,20260724T1337Z,morning,2.8673,-0.05680921052631574,False,1-3,False,,3.0,1.0204
BCML,under120,20260724T1337Z,morning,31.25,-0.056746151524298294,False,10-120,False,,32.325,1.014
SCHL,under120,20260724T1337Z,morning,43.805,-0.05673987941429798,False,10-120,False,,45.24,1.0123
SNDC,under120,20260724T1337Z,morning,9.48,-0.056716417910447785,False,3-10,False,,9.48,0.9804
CLSX,under120,20260724T1337Z,morning,20.88,-0.056484410302756444,False,10-120,False,,21.12,0.9915
APLM,under120,20260724T1337Z,morning,17.8,-0.05620360551431595,False,10-120,False,,18.28,0.9967
NSRX,under120,20260724T1337Z,morning,2.92,-0.05593275137407049,False,1-3,True,2026-07-24T13:50:00Z,3.07,
NIVF,under120,20260724T1337Z,morning,1.1519,-0.05581967213114758,False,1-3,True,2026-07-24T13:40:00Z,1.24,
SNTG,under120,20260724T1337Z,morning,2.2001,-0.055751072961373445,False,1-3,False,,2.2814,1.014
COIA,under120,20260724T1337Z,morning,7.17,-0.05533596837944663,False,3-10,False,,7.401,1.0111
SPCH,under120,20260724T1337Z,morning,6.66,-0.05531914893617017,False,3-10,False,,6.73,0.9897
HOOW,under120,20260724T1337Z,morning,25.9543,-0.055176556243174336,False,10-120,False,,26.17,0.9883
ONDL,under120,20260724T1337Z,morning,7.11,-0.05514950166112957,False,3-10,True,2026-07-24T15:20:00Z,7.4899,
OSSL,under120,20260724T1337Z,morning,9.1,-0.05510502871027023,False,3-10,False,,9.1,0.9795
NOVM,under120,20260724T1337Z,morning,31.95,-0.054867947747065535,False,10-120,False,,31.95,0.9804
GNTX,under120,20260724T1337Z,morning,22.5,-0.054621848739495826,False,10-120,False,,22.92,0.9987
DISK,under120,20260724T1337Z,morning,35.4,-0.05448717948717947,False,10-120,False,,35.79,0.9911
POEL,under120,20260724T1337Z,morning,9.56,-0.05440158259149347,False,3-10,False,,9.51,0.9744
REMC,under120,20260724T1337Z,morning,21.16,-0.05438620011619068,False,10-120,False,,21.16,0.9801
PMMY,under120,20260724T1337Z,morning,25.32,-0.05434173669467781,False,10-120,False,,25.32,0.9803
SPAL,under120,20260724T1337Z,morning,11.19,-0.05409974640743876,False,10-120,False,,11.27,0.9869
KEEL,under120,20260724T1337Z,morning,4.55,-0.054054054054054015,False,3-10,False,,4.6399,0.9978
CPHI,under120,20260724T1337Z,morning,1.7502,-0.053945945945946004,False,1-3,False,,1.78,0.9944
COFS,under120,20260724T1337Z,morning,31.855,-0.05390555390555394,False,10-120,True,2026-07-24T19:40:00Z,32.58,
AHMA,under120,20260724T1337Z,morning,1.58,-0.053892215568862194,False,1-3,False,,1.61,0.9938
WYFI,under120,20260724T1337Z,morning,25.65,-0.05385466617484327,False,10-120,False,,26.27,1.0038
JZXN,under120,20260724T1337Z,morning,1.23,-0.05384615384615389,False,1-3,False,,1.2553,0.9963
TV,under120,20260724T1337Z,morning,2.64,-0.05376344086021502,False,1-3,True,2026-07-24T15:00:00Z,2.785,
PONX,under120,20260724T1337Z,morning,16.2,-0.05373831775700944,False,10-120,True,2026-07-24T17:15:00Z,17.29,
FLG,under120,20260724T1337Z,morning,13.92,-0.05370496261046913,False,10-120,False,,14.17,0.9979
HYLN,under120,20260724T1337Z,morning,3.9,-0.05339805825242723,False,3-10,False,,3.92,0.9849
SPAX,under120,20260724T1337Z,morning,6.74,-0.05337078651685392,False,3-10,False,,6.79,0.9869
DDFM,under120,20260724T1337Z,morning,18.72,-0.052808937597717084,False,10-120,True,2026-07-24T14:05:00Z,19.8,
SRXH,under120,20260724T1337Z,morning,1.705,-0.052777777777777764,False,1-3,True,2026-07-24T16:20:00Z,1.85,
MIC,under120,20260724T1337Z,morning,14.5,-0.052764295093319084,False,10-120,False,,14.015,0.9381
