symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,pct_change_at_first_seen,in_experiment_bracket,decline_bucket,price_bucket,simulated,closed,closed_at,decay_close_roi_pct,peak_price_reached,pct_of_target_reached_if_not_closed,liquidation_triggered,liquidation_exit_price,liquidation_roi_pct,eod_sell_price,eod_sell_roi_pct
TNMG,under120,2026-08-13T14:53Z,morning,0.4101,-0.05419741697416967,false,shallow_outside,<1,true,false,,,0.4195,100.11933174224343,false,,,0.3959,-3.462570104852486
TOPP,under120,2026-08-13T14:53Z,morning,0.2262,-0.07673469387755096,false,shallow_outside,<1,true,true,2026-08-13T15:05:00Z,5.216622458001758,,,false,,,0.2522,11.494252873563203
TORO,under120,2026-08-13T14:53Z,morning,5.42,-0.06551724137931032,false,shallow_outside,3-10,true,true,2026-08-13T17:55:00Z,4.0590405904059,,,false,,,5.612,3.542435424354247
TPET,under120,2026-08-13T15:54Z,morning,0.2402,-0.05433070866141735,false,shallow_outside,<1,true,true,2026-08-13T19:30:00Z,2.414654454621149,,,false,,,0.247,2.83097418817652
TPR,120to500,2026-08-13T13:38Z,morning,129.16,-0.1598803174190192,false,other_price_or_range,120-500,false,,,,,,,,,,
TPST,under120,2026-08-13T14:53Z,morning,1.11,-0.08264462809917344,false,shallow_outside,1-3,true,true,2026-08-13T16:40:00Z,5.40540540540539,,,false,,,1.1801,6.315315315315299
TROO,under120,2026-08-13T14:53Z,morning,1.8756,-0.07605911330049256,false,shallow_outside,1-3,true,true,2026-08-13T15:10:00Z,5.033056088718279,,,false,,,1.87,-0.29857112390700724
TROX,under120,2026-08-13T13:38Z,morning,5.785,-0.062398703403565604,false,shallow_outside,3-10,true,true,2026-08-13T16:30:00Z,5.099394987035435,,,false,,,6.015,3.975799481417451
TSAT,under120,2026-08-13T14:53Z,morning,54.65,-0.10993485342019545,false,other_price_or_range,10-120,false,,,,,,,,,,
TSEG,under120,2026-08-13T13:38Z,morning,9.54,-0.053571428571428666,false,shallow_outside,3-10,true,true,2026-08-13T14:00:00Z,5.031446540880508,,,false,,,9.39,-1.5723270440251422
TSEP,under120,2026-08-13T13:38Z,morning,24.94,-0.059400339430511005,false,other_price_or_range,10-120,false,,,,,,,,,,
TSHA,under120,2026-08-13T19:37Z,afternoon,5.9762,-0.06694769711163151,false,shallow_outside,3-10,true,false,,,6.03,98.85245901639345,,,,6.0,0.39824637729660317
TTRX,under120,2026-08-13T19:37Z,afternoon,9.99,-0.05218216318785569,false,shallow_outside,3-10,true,false,,,10.09,99.01864573110893,,,,9.81,-1.801801801801799
UCL,under120,2026-08-13T13:38Z,morning,0.71,-0.05345953872816961,false,shallow_outside,<1,true,true,2026-08-13T14:25:00Z,5.070422535211272,,,false,,,0.733,3.239436619718313
UEIC,under120,2026-08-13T15:54Z,morning,5.51,-0.06292517006802723,false,shallow_outside,3-10,true,false,,,5.67,100.71047957371226,false,,,5.12,-7.0780399274047126
UK,under120,2026-08-13T14:53Z,morning,2.18,-0.080168776371308,false,shallow_outside,1-3,true,true,2026-08-13T18:30:00Z,3.2110091743119193,,,false,,,2.27,4.1284403669724705
UNX,under120,2026-08-13T13:38Z,morning,100.5,-0.05286966355668645,false,other_price_or_range,10-120,false,,,,,,,,,,
UPC,under120,2026-08-13T14:53Z,morning,5.7,-0.05940594059405931,false,shallow_outside,3-10,true,true,2026-08-13T17:00:00Z,5.087719298245615,,,false,,,5.8692,2.9684210526315793
UPXI,under120,2026-08-13T19:37Z,afternoon,0.7799,-0.053059737736765374,false,shallow_outside,<1,true,false,,,0.7799,97.97738693467338,,,,0.7459,-4.359533273496606
VBIO,under120,2026-08-13T13:38Z,morning,0.1785,-0.21017699115044253,true,in_bracket,<1,true,true,2026-08-13T13:40:00Z,5.322128851540621,,,false,,,0.1717,-3.8095238095238098
VEEA,under120,2026-08-13T13:38Z,morning,0.1144,-0.09206349206349206,false,shallow_outside,<1,true,true,2026-08-13T13:40:00Z,5.769230769230765,,,false,,,0.1252,9.440559440559444
VEEE,under120,2026-08-13T13:38Z,morning,11.8228,-0.05417599999999993,false,other_price_or_range,10-120,false,,,,,,,,,,
VEFA,under120,2026-08-13T13:38Z,morning,75.73,-0.10498492550207945,false,other_price_or_range,10-120,false,,,,,,,,,,
VNRX,under120,2026-08-13T15:54Z,morning,0.63,-0.057732575530960166,false,shallow_outside,<1,true,false,,,0.6317,98.24261275272163,true,0.6198,-1.6190476190476168,0.6306,0.09523809523810237
VTAK,under120,2026-08-13T13:38Z,morning,0.2721,-0.07133105802047773,false,shallow_outside,<1,true,true,2026-08-13T18:30:00Z,3.270856302829849,,,false,,,0.2847,4.630650496141125
WATT,under120,2026-08-13T19:37Z,afternoon,15.105,-0.11042402826855123,false,other_price_or_range,10-120,false,,,,,,,,,,
WBX,under120,2026-08-13T19:37Z,afternoon,2.95,-0.05448717948717946,false,shallow_outside,1-3,false,,,,,,,,,,
WCT,under120,2026-08-13T13:38Z,morning,0.9465,-0.08990384615384618,false,shallow_outside,<1,true,true,2026-08-13T13:40:00Z,5.652403592181721,,,false,,,0.95,0.3697834125726305
WETO,under120,2026-08-13T14:53Z,morning,3.84,-0.05418719211822654,false,shallow_outside,3-10,true,false,,,3.84,97.95918367346938,false,,,3.5536,-7.458333333333334
WFF,under120,2026-08-13T13:38Z,morning,1.415,-0.13190184049079748,true,in_bracket,1-3,true,true,2026-08-13T14:05:00Z,5.300353356890456,,,false,,,1.57,10.954063604240284
WLDS,under120,2026-08-13T19:37Z,afternoon,2.8416,-0.05907284768211917,false,shallow_outside,1-3,true,false,,,2.8599,98.61724137931034,,,,2.8548,0.4645270270270227
WLFC,under120,2026-08-13T19:37Z,afternoon,53.82,-0.056451612903225784,false,other_price_or_range,10-120,false,,,,,,,,,,
WPRT,under120,2026-08-13T19:37Z,afternoon,1.715,-0.05769230769230768,false,shallow_outside,1-3,true,true,2026-08-13T19:45:00Z,2.0408163265306074,,,,,,1.73,0.8746355685131139
WULF,under120,2026-08-13T19:37Z,afternoon,16.285,-0.052646887725421816,false,other_price_or_range,10-120,false,,,,,,,,,,
WWR,under120,2026-08-13T19:37Z,afternoon,0.5845,-0.0722222222222222,false,shallow_outside,<1,true,false,,,0.5893,98.71021775544389,,,,0.5869,0.4106073567151339
WYHG,under120,2026-08-13T13:38Z,morning,6.15,-0.0581929555895865,false,shallow_outside,3-10,true,false,,,6.29,100.15923566878982,false,,,5.41,-12.032520325203254
XAGI,under120,2026-08-13T13:38Z,morning,17.5,-0.15651675157731365,false,other_price_or_range,10-120,false,,,,,,,,,,
XBIO,under120,2026-08-13T14:53Z,morning,3.12,-0.05454545454545446,false,shallow_outside,3-10,true,true,2026-08-13T19:55:00Z,2.2435897435897383,,,false,,,3.26,4.487179487179477
XBIX,under120,2026-08-13T13:38Z,morning,33.49,-0.10757825677976704,false,other_price_or_range,10-120,false,,,,,,,,,,
XCOM,under120,2026-08-13T13:38Z,morning,22.0,-0.08205969115481061,false,other_price_or_range,10-120,false,,,,,,,,,,
XEML,under120,2026-08-13T13:38Z,morning,23.7199,-0.1034343296896025,false,other_price_or_range,10-120,false,,,,,,,,,,
XEUR,under120,2026-08-13T13:38Z,morning,24.17,-0.09986406718432861,false,other_price_or_range,10-120,false,,,,,,,,,,
XVO,under120,2026-08-13T13:38Z,morning,24.93,-0.07423224033569753,false,other_price_or_range,10-120,false,,,,,,,,,,
XXII,under120,2026-08-13T14:53Z,morning,3.95,-0.08352668213457064,false,shallow_outside,3-10,true,true,2026-08-13T18:55:00Z,3.0379746835443067,,,false,,,4.1374,4.74430379746836
YCBD,under120,2026-08-13T19:37Z,afternoon,0.5633,-0.05802675585284273,false,shallow_outside,<1,true,false,,,0.5681,98.80000000000003,,,,0.568,0.8343688975678905
YDES,under120,2026-08-13T19:37Z,afternoon,2.43,-0.06538461538461536,false,shallow_outside,1-3,true,true,2026-08-13T19:40:00Z,2.0576131687242727,,,,,,2.435,0.20576131687242358
YDKG,under120,2026-08-13T14:53Z,morning,1.065,-0.050886730237946834,false,shallow_outside,1-3,true,false,,,1.07,98.1651376146789,false,,,1.06,-0.4694835680751074
YETI,under120,2026-08-13T13:38Z,morning,44.86,-0.11762391817466569,false,other_price_or_range,10-120,false,,,,,,,,,,
YMT,under120,2026-08-13T13:38Z,morning,0.2189,-0.07637130801687754,false,shallow_outside,<1,true,true,2026-08-13T19:30:00Z,2.3298309730470503,,,false,,,0.219,0.04568296025581955
