symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,pct_change_at_first_seen,in_experiment_bracket,price_bucket,closed,closed_at,peak_price_reached,pct_of_target_reached_if_not_closed
AIXI,under120,20260722T1336Z,morning,1.17,-0.05645161290322586,False,1-3,True,2026-07-22T14:20:00Z,1.23,
ALAR,under120,20260722T1637Z,morning,2.05,-0.05963302752293593,False,1-3,False,,2.08,99.05
ALGS,under120,20260722T1937Z,afternoon,5.165,-0.05055147058823536,False,3-10,False,,5.19,98.48
ALK,under120,20260722T1336Z,morning,43.17,-0.05037395512538494,False,10-120,True,2026-07-22T19:35:00Z,44.2,
ALKT,under120,20260722T1937Z,afternoon,16.39,-0.058045977011494145,False,10-120,False,,16.52,98.8
ALOY,under120,20260722T1637Z,morning,8.4225,-0.06416666666666673,False,3-10,False,,8.43,98.02
ALVO,under120,20260722T1937Z,afternoon,3.225,-0.08380681818181816,False,3-10,False,,3.225,98.02
AMBO,under120,20260722T1637Z,morning,2.22,-0.05128205128205114,False,1-3,True,2026-07-22T18:05:00Z,2.335,
AMIX,under120,20260722T1937Z,afternoon,4.03,-0.06060606060606056,False,3-10,False,,4.06,98.54
AMPL,under120,20260722T1637Z,morning,8.87,-0.07507820646506784,False,3-10,False,,8.875,98.07
AMPX,under120,20260722T1937Z,afternoon,10.2903,-0.05420036764705887,False,10-120,False,,10.305,98.14
AMSF,under120,20260722T1637Z,morning,32.07,-0.056209535020600256,False,10-120,False,,32.25,98.56
AMTD,under120,20260722T1336Z,morning,0.8149,-0.05244186046511631,False,<1,True,2026-07-22T13:45:00Z,0.8799,
AMWL,under120,20260722T1937Z,afternoon,11.77,-0.0561347233360065,False,10-120,False,,11.77,98.0
ANPA,under120,20260722T1637Z,morning,3.495,-0.12624999999999997,False,3-10,True,2026-07-22T17:25:00Z,3.7347,
ANTA,under120,20260722T1637Z,morning,3.5,-0.1048593350383632,False,3-10,True,2026-07-22T19:40:00Z,3.71,
APMI,under120,20260722T1336Z,morning,20.575,-0.0726008194467608,False,10-120,True,2026-07-22T15:50:00Z,21.73,
APPN,under120,20260722T1336Z,morning,23.085,-0.08934911242603552,False,10-120,False,,23.55,100.0
APPS,under120,20260722T1937Z,afternoon,8.46,-0.07843137254901948,False,3-10,False,,8.52,98.73
APPX,under120,20260722T1336Z,morning,24.99,-0.06544502617801047,False,10-120,False,,25.48,99.96
APYX,under120,20260722T1937Z,afternoon,3.88,-0.05825242718446607,False,3-10,False,,3.94,99.49
ARAI,under120,20260722T1937Z,afternoon,0.3136,-0.05627445079747215,False,<1,False,,0.315,98.44
AREN,under120,20260722T1637Z,morning,1.03,-0.07207207207207213,False,1-3,False,,1.04,98.11
ARMG,under120,20260722T1336Z,morning,23.7601,-0.05111421725239608,False,10-120,True,2026-07-22T19:35:00Z,24.735,
ARTL,under120,20260722T1937Z,afternoon,1.06,-0.05357142857142862,False,1-3,False,,1.075,98.62
ASAN,under120,20260722T1637Z,morning,6.805,-0.07916102841677942,False,3-10,False,,6.955,100.07
ASTH,under120,20260722T1937Z,afternoon,41.93,-0.07765068191816984,False,10-120,False,,42.38,99.09
ATER,under120,20260722T1637Z,morning,0.9591,-0.06883495145631074,False,<1,False,,0.977,99.8
ATGL,under120,20260722T1637Z,morning,10.1,-0.05959031657355685,False,10-120,True,2026-07-22T16:50:00Z,11.3245,
AUGT,under120,20260722T1336Z,morning,34.55,-0.0989698787325597,False,10-120,True,2026-07-22T18:35:00Z,38.39,
AUUD,under120,20260722T1637Z,morning,1.135,-0.06967213114754095,False,1-3,False,,1.14,98.28
AVAT,under120,20260722T1637Z,morning,0.475,-0.07226562500000007,False,<1,False,,0.493,101.65
AVPT,under120,20260722T1637Z,morning,12.115,-0.06879323597232895,False,10-120,False,,12.125,98.1
AWRE,under120,20260722T1937Z,afternoon,1.085,-0.06465517241379307,False,1-3,True,2026-07-22T19:45:00Z,1.13,
AXTI,under120,20260722T1637Z,morning,53.6,-0.0514953105645018,False,10-120,False,,53.7,98.21
AXTL,under120,20260722T1336Z,morning,2.67,-0.08561643835616438,False,1-3,True,2026-07-22T14:00:00Z,2.92,
AXTU,under120,20260722T1336Z,morning,3.71,-0.08620689655172406,False,3-10,True,2026-07-22T13:45:00Z,3.92,
AXTX,under120,20260722T1336Z,morning,6.83,-0.09775429326287981,False,3-10,True,2026-07-22T13:40:00Z,7.25,
AZI,under120,20260722T1937Z,afternoon,1.27,-0.0522388059701493,False,1-3,False,,1.29,99.23
BAND,under120,20260722T1937Z,afternoon,64.63,-0.08143831722569647,False,10-120,False,,64.75,98.21
BANL,under120,20260722T1937Z,afternoon,4.74,-0.08139534883720928,False,3-10,False,,4.74,97.93
BBNX,under120,20260722T1637Z,morning,16.68,-0.053348467650397344,False,10-120,False,,16.885,99.21
BCAB,under120,20260722T1937Z,afternoon,3.44,-0.06775067750677508,False,3-10,False,,3.44,98.01
BCTX,under120,20260722T1637Z,morning,3.56,-0.05066666666666665,False,3-10,False,,3.625,99.59
BEAT,under120,20260722T1637Z,morning,0.5625,-0.050151975683890494,False,<1,False,,0.5625,98.0
BETA,under120,20260722T1937Z,afternoon,18.5,-0.053708439897698246,False,10-120,False,,18.555,98.33
BGI,under120,20260722T1637Z,morning,0.5353,-0.060877192982456065,False,<1,True,2026-07-22T18:05:00Z,0.5575,
BGLC,under120,20260722T1637Z,morning,1.5,-0.07975460122699381,False,1-3,True,2026-07-22T18:40:00Z,1.57,
BHVN,under120,20260722T1637Z,morning,14.675,-0.05383623468729846,False,10-120,False,,15.05,100.53
BILL,under120,20260722T1937Z,afternoon,41.811,-0.055332128332580166,False,10-120,False,,41.93,98.31
BIOX,under120,20260722T1637Z,morning,0.3301,-0.05143678160919533,False,<1,True,2026-07-22T17:10:00Z,0.3499,
BJDX,under120,20260722T1336Z,morning,1.0801,-0.06887931034482747,False,1-3,True,2026-07-22T17:35:00Z,1.1611,
BKU,under120,20260722T1336Z,morning,45.62,-0.05096733929685881,False,10-120,False,,46.33,99.55
BL,under120,20260722T1937Z,afternoon,27.78,-0.05381471389645771,False,10-120,False,,27.98,98.73
BLND,under120,20260722T1937Z,afternoon,1.725,-0.0824468085106382,False,1-3,False,,1.745,99.15
BMI,120to500,20260722T1336Z,morning,137.97,-0.054157811750188564,False,120-500,False,,140.04,99.51
BOX,under120,20260722T1937Z,afternoon,28.165,-0.05928523714094863,False,10-120,False,,28.45,99.03
BRIA,under120,20260722T1637Z,morning,1.35,-0.05594405594405584,False,1-3,True,2026-07-22T19:40:00Z,1.4044,
